season,round,race_name,circuit_id
2023,2,Saudi Arabian Grand Prix,jeddah
2023,3,Australian Grand Prix,albert_park
2023,4,Azerbaijan Grand Prix,baku
2023,5,Miami Grand Prix,miami
2023,6,Monaco Grand Prix,monaco
2023,7,Spanish Grand Prix,catalunya
2023,8,Canadian Grand Prix,villeneuve
2023,9,Austrian Grand Prix,red_bull_ring
2023,10,British Grand Prix,silverstone
2023,11,Hungarian Grand Prix,hungaroring
2023,12,Belgian Grand Prix,spa
2023,13,Dutch Grand Prix,zandvoort
2023,14,Italian Grand Prix,monza
2023,15,Singapore Grand Prix,marina_bay
2023,16,Japanese Grand Prix,suzuka
2023,17,Qatar Grand Prix,losail
2023,18,United States Grand Prix,americas
2023,19,Mexico City Grand Prix,rodriguez
2023,20,São Paulo Grand Prix,interlagos
2023,21,Las Vegas Grand Prix,vegas
2023,22,Abu Dhabi Grand Prix,yas_marina
2024,1,Bahrain Grand Prix,bahrain
2024,2,Saudi Arabian Grand Prix,jeddah
2024,3,Australian Grand Prix,albert_park
2024,4,Japanese Grand Prix,suzuka
2024,5,Chinese Grand Prix,shanghai
2024,6,Miami Grand Prix,miami
2024,7,Emilia Romagna Grand Prix,imola
2024,8,Monaco Grand Prix,monaco
2024,9,Canadian Grand Prix,villeneuve
2024,10,Spanish Grand Prix,catalunya
2024,11,Austrian Grand Prix,red_bull_ring
2024,12,British Grand Prix,silverstone
2024,13,Hungarian Grand Prix,hungaroring
2024,14,Belgian Grand Prix,spa
2024,15,Dutch Grand Prix,zandvoort
2024,16,Italian Grand Prix,monza
2024,17,Azerbaijan Grand Prix,baku
2024,18,Singapore Grand Prix,marina_bay
2024,19,United States Grand Prix,americas
2024,20,Mexico City Grand Prix,rodriguez
2024,21,São Paulo Grand Prix,interlagos
2024,22,Las Vegas Grand Prix,vegas
2024,23,Qatar Grand Prix,losail
2024,24,Abu Dhabi Grand Prix,yas_marina
2025,1,Australian Grand Prix,albert_park
2025,2,Chinese Grand Prix,shanghai
2025,3,Japanese Grand Prix,suzuka
2025,4,Bahrain Grand Prix,bahrain
2025,5,Saudi Arabian Grand Prix,jeddah
2025,6,Miami Grand Prix,miami
2025,7,Emilia Romagna Grand Prix,imola
2025,8,Monaco Grand Prix,monaco
2025,9,Spanish Grand Prix,catalunya
2025,10,Canadian Grand Prix,villeneuve
2025,11,Austrian Grand Prix,red_bull_ring
2025,12,British Grand Prix,silverstone
2025,13,Belgian Grand Prix,spa
2025,14,Hungarian Grand Prix,hungaroring
2025,15,Dutch Grand Prix,zandvoort
2025,16,Italian Grand Prix,monza
2025,17,Azerbaijan Grand Prix,baku
2025,18,Singapore Grand Prix,marina_bay
2025,19,United States Grand Prix,americas
2025,20,Mexico City Grand Prix,rodriguez
2025,21,São Paulo Grand Prix,interlagos
2025,22,Las Vegas Grand Prix,vegas
2025,23,Qatar Grand Prix,losail
2025,24,Abu Dhabi Grand Prix,yas_marina
